"iteration","value","iteration_num","metric","alpha","lambda","hyper_param_label"
"Test Set 1",1288.1793,1,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",16.33267,1,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",4099206.5,1,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",658534.9,1,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",0.48739654,1,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",306482.53,1,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",2024.6497,1,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",0.60296834,1,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",1299.5137,2,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",16.579962,2,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",4380717.5,2,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",673450,2,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",0.47829452,2,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",312615.2,2,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",2093.0164,2,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 2",0.6057688,2,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",1277.6244,3,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",16.158915,3,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",4425910,3,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",658540.5,3,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",0.46401468,3,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",305888.25,3,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",2103.7847,3,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 3",0.6004955,3,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",1324.2936,4,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",16.84002,4,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",5331825.5,4,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",685366.56,4,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",0.44261357,4,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",315952.44,4,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",2309.0745,4,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 4",0.60623026,4,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",1278.7246,5,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",16.20187,5,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",4214633.5,5,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",659446,5,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",0.47952121,5,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",307171.28,5,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",2052.9573,5,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 5",0.6024794,5,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",1286.9631,6,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",16.305176,6,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",4405561.5,6,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",661705.8,6,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",0.4736694,6,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",305542.7,6,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",2098.9429,6,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 6",0.598137,6,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",1293.1646,7,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",16.6438,7,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",4264741,7,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",659604.8,7,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",0.47386396,7,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",311738.38,7,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",2065.125,7,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 7",0.60970396,7,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",1285.3591,8,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",16.261444,8,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",4061105,8,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",646133.9,8,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",0.47916678,8,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",305097.22,8,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",2015.2183,8,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",0.6018154,8,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",1300.9272,9,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",16.731075,9,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",5219667,9,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",671020.94,9,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",0.433223,9,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",314192.84,9,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",2284.6592,9,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",0.60221416,9,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
