"Recommended Feature","Relative Importance"
"cat57",0.0325630981029696
"cat101",0.0281901755344751
"cat80",0.0259361956544212
"cat79",0.0252457913848566
"cat103",0.0209314338392285
"cat100",0.0192496907103792
"cat111",0.0192278301185105
"cat112",0.0191523401723692
"cat81",0.0146528336655619
"cont2",0.0143215238417593
"cat114",0.0131986592366763
"cont7_cubed",0.00666706307533995
"cat12",0.00569495122356189
"cat87",0.00518142068972341
"cat108",0.00485989625863065
"cat113",0.00453310465881443
"cat72",0.00356750003179945
"cat53",0.0030758300898295
"cat44",0.00289991402114407
"cat1",0.00215295828505503
"cat82",0.00194819556621754
"cat26",0.00179318856125156
"cat91",0.00161112746238899
"cat50",0.0000391968208595721
