"iteration","value","iteration_num","metric","tweedie_variance_power","hyper_param_label"
"Test Set 1",1428.8114,1,"mae",1.95,"tweedie_variance_power 1.95"
"Test Set 1",0.5889802,1,"mean_residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 1",5200578.5,1,"mse",1.95,"tweedie_variance_power 1.95"
"Test Set 1",18330.336,1,"null_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 1",0.34307608,1,"r2",1.95,"tweedie_variance_power 1.95"
"Test Set 1",11053.392,1,"residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 1",2280.4775,1,"rmse",1.95,"tweedie_variance_power 1.95"
"Test Set 1",0.66634953,1,"rmsle",1.95,"tweedie_variance_power 1.95"
"Test Set 2",1455.5907,2,"mae",1.95,"tweedie_variance_power 1.95"
"Test Set 2",0.59825844,2,"mean_residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 2",6570498.5,2,"mse",1.95,"tweedie_variance_power 1.95"
"Test Set 2",18854.334,2,"null_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 2",0.30457142,2,"r2",1.95,"tweedie_variance_power 1.95"
"Test Set 2",11287.343,2,"residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 2",2563.2983,2,"rmse",1.95,"tweedie_variance_power 1.95"
"Test Set 2",0.6661733,2,"rmsle",1.95,"tweedie_variance_power 1.95"
"Test Set 3",1459.5996,3,"mae",1.95,"tweedie_variance_power 1.95"
"Test Set 3",0.6030994,3,"mean_residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 3",5743428.5,3,"mse",1.95,"tweedie_variance_power 1.95"
"Test Set 3",18776.691,3,"null_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 3",0.32910508,3,"r2",1.95,"tweedie_variance_power 1.95"
"Test Set 3",11312.939,3,"residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 3",2396.5452,3,"rmse",1.95,"tweedie_variance_power 1.95"
"Test Set 3",0.6691136,3,"rmsle",1.95,"tweedie_variance_power 1.95"
"Test Set 4",1458.7213,4,"mae",1.95,"tweedie_variance_power 1.95"
"Test Set 4",0.6069041,4,"mean_residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 4",5601919,4,"mse",1.95,"tweedie_variance_power 1.95"
"Test Set 4",18626.217,4,"null_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 4",0.33099896,4,"r2",1.95,"tweedie_variance_power 1.95"
"Test Set 4",11339.3955,4,"residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 4",2366.8374,4,"rmse",1.95,"tweedie_variance_power 1.95"
"Test Set 4",0.66882354,4,"rmsle",1.95,"tweedie_variance_power 1.95"
"Test Set 5",1434.5409,5,"mae",1.95,"tweedie_variance_power 1.95"
